GPUId,TimeStampUs,Field,Values
5,1718783838260364,power_usage_instant,70.58
5,1718783838740096,power_usage_instant,70.90
5,1718783839052206,power_usage_instant,71.24
5,1718783838323578,throttle_reason_idle,1
5,1718783838323578,current_clock_throttle_reasons,1
5,1718783838797867,throttle_reason_idle,1
5,1718783838797867,current_clock_throttle_reasons,1
5,1718783839095984,throttle_reason_idle,1
5,1718783839095984,current_clock_throttle_reasons,1
6,1718783838396104,power_usage_instant,69.30
6,1718783838899038,power_usage_instant,69.95
6,1718783839160717,power_usage_instant,69.62
6,1718783838345746,throttle_reason_idle,1
6,1718783838345746,current_clock_throttle_reasons,1
6,1718783838820120,throttle_reason_idle,1
6,1718783838820120,current_clock_throttle_reasons,1
6,1718783839117416,throttle_reason_idle,1
6,1718783839117416,current_clock_throttle_reasons,1
7,1718783838537248,power_usage_instant,71.46
7,1718783838986010,power_usage_instant,71.46
7,1718783839204385,power_usage_instant,71.71
7,1718783838366141,throttle_reason_idle,1
7,1718783838366141,current_clock_throttle_reasons,1
7,1718783838840595,throttle_reason_idle,1
7,1718783838840595,current_clock_throttle_reasons,1
7,1718783839137933,throttle_reason_idle,1
7,1718783839137933,current_clock_throttle_reasons,1
